categoria,enlace,titulo,texto,fecha,autor
España,https://www.elmundo.es/espana/2024/04/04/660be15be4d4d8a41f8b459f.html,"Page abre otro frente con Sánchez por la financiación de las políticas del Gobierno: pide por carta ""un compromiso de Estado""","El presidente de 
Castilla-La Mancha
 ha enviado una carta a 
Pedro Sánchez
 para reclamarle ""un compromiso de Estado"" que implique ""la garantía de financiación de los sobrecostes"" que les supone a las comunidades autónomas la aplicación de las políticas impulsadas por el Ejecutivo central. En ella, 
Emiliano García-Page
 expresa su ""preocupación"" por la adopción de actuaciones y medidas ""por parte de los diversos gobiernos de España"" que han tenido ""una clara incidencia"" tanto en el dinero que reciben las regiones como en las inversiones adicionales que tienen que hacer.
""No cuestionamos en ningún momento el efecto positivo que hayan podido tener esas decisiones en el conjunto de la ciudadanía, pero consideramos que la Administración General debe establecer todos los mecanismos que garanticen que las normas estatales que supongan incremento de gasto o reducciones de ingresos tributarios de las comunidades autónomas contengan la valoración correspondiente y no impliquen disminución de los márgenes de autonomía para desarrollar sus competencias propias"", expresa el barón socialista en la misiva que ha enviado al Palacio de la Moncloa.
Según Page, el hecho de que la aprobación de medidas de ámbito nacional ""no conlleve aparejada la garantía de financiación suficiente"" para las regiones supone en el caso de Castilla-La Mancha ""enormes dificultades para poder cumplir con las exigencias"" derivadas de sus responsabilidades, como asegurar la sanidad, los servicios sociales y las infraestructuras. Cita como ejemplo que la realización de modificaciones por parte del Estado sobre tributos cedidos, total o parcialmente, como el de la electricidad y el del Impuesto sobre el Valor Añadido, suponen una minoración en el dinero que perciben los gobiernos autonómicos.
""Lo mismo sucede desde el punto de vista de los gastos, donde los sobrecostes derivados en el ámbito de atención a las personas con discapacidad tras la aplicación del acuerdo del Consejo Territorial de Servicios Sociales y del Sistema para la Autonomía y Atención a la Dependencia se cifran en más de 
32 millones de euros hasta 2030
; o en el ámbito de atención a las personas mayores, teniendo en cuenta además la demografía de Castilla-La Mancha, con importantes sobrecostes derivados del cambio de modelo que además, en muchos casos, no se adapta a las necesidades de los ciudadanos"", agrega.
El dirigente regional apunta también que una ""situación similar"" se produce tras la aprobación de la 
Ley del Sistema Universitario
 (
LOSU
), que ""está suponiendo un incremento muy notable de los costes de las universidades"" implantadas en su comunidad y, por tanto, de las ""obligaciones financieras"" que su Gobierno tiene con ellas a través de los diferentes ""contratos-programas"", además de los costes derivados de los cambios de obligado cumplimiento en la normativa de Seguridad Social relativa a la 
cotización por las prácticas de los estudiantes
. No obstante, tuteándolo, le indica a renglón seguido a Sánchez que conoce que en la reunión que el jefe del Ejecutivo central ha mantenido con los rectores han ""llegado a un compromiso"" al respecto.
""Por todo ello te pido que en la próxima Conferencia de Presidentes se incorpore un punto donde se aborde un compromiso de Estado que implique la garantía de financiación de los sobrecostes que se derivan de la aplicación de normativa o acuerdos de la Administración del Estado, compromiso que debe ser trasladado a la normativa básica del sistema de financiación de las comunidades autónomas"", señala Page. ""No tengo ningún inconveniente en profundizar en este tema contigo o con la persona que consideres oportuna"", concluye.
""Lealtad institucional""
El presidente de Castilla-La Mancha adjunta con su carta un borrador con su propuesta de acuerdo para asegurar ""la lealtad institucional en el ámbito de los recursos financieros"" de los gobiernos regionales. En él se incluye explícitamente el compromiso de que ""toda modificación normativa (legal o reglamentaria) que realice la Administración General del Estado y que tenga efectos económicos y/o presupuestarios en las comunidades autónomas, tanto en sus gastos como en sus ingresos"", deberá ir acompañada de un estudio económico en el que ""se deben identificar los mismos, valorarlos y establecer las correspondientes aportaciones"" a las regiones ""para garantizar la suficiencia financiera de los servicios públicos"".
Page abre así otro frente de con el secretario general del 
PSOE
 después de haber sido el cargo en activo que más duramente ha criticado la 
Ley de Amnistía
 promovida por su partido para la eliminación de los delitos de los encausados por el 
procés
. En una 
entrevista con EL MUNDO
 tras la aprobación de dicha norma en el Congreso afirmó que ""pone de rodillas a la Constitución"" y advirtió que ""las fracturas que se están generando"" para tratar de ""soldar brechas en Cataluña a costa de abrirlas en el resto de España"" serán ""facturas para la próxima generación"".",2024-04-04T08:32:17Z,Marta Belver
España,https://www.elmundo.es/espana/2024/04/04/660d833d21efa0b1078b45bd.html,"El informe de la Comisión de las CCAA advierte contra la amnistía: ""Un golpe mortal al estado autonómico"" y ""alentará actos insurreccionales""","La 
Ley de Amnistía
 ""deslegitima al Estado en su conjunto, también como Estado autonómico, y singularmente del 
Senado
 como Cámara de representación territorial, de las provincias y de las CCAA"". Esta es la premisa fundamental que defiende el informe q
 








Hazte Premium desde 1€ el primer mes 






Aprovecha esta oferta por tiempo limitado y accede a todo el contenido web



Lo quiero









Si lo prefieres













",2024-04-03T22:05:28Z,Marisa Cruz
España,https://www.elmundo.es/espana/2024/04/03/660d9b3821efa08b6f8b45bf.html,"El PP unifica sus políticas en impuestos y educación en plena campaña para mostrar ""cómo sería que gobernara Feijóo""","El 
PP
 va a activar al máximo su poder autonómico en plena concatenación de campañas electorales, para escenificar «un nuevo modelo de país». O, dicho de otra manera, «como sería que 
Feijóo
 gobernara». La secretaria general de los populares, 
Cuca Gama
 








Hazte Premium desde 1€ el primer mes 






Aprovecha esta oferta por tiempo limitado y accede a todo el contenido web



Lo quiero









Si lo prefieres













",2024-04-03T20:41:56Z,Juanma Lamet
España,https://www.elmundo.es/espana/2024/04/04/660e93a2fc6c832a178b4571.html,"Las familias de los enterrados en el Valle de los Caídos protestan por la visita de Sánchez porque a ellas se les ""ha impedido""","La 
Asociación para la Recuperación de la Memoria Histórica
 (ARMH) ha registrado una queja dirigida al Gobierno tras conocer la 
visita
 que el presidente 
Pedro Sánchez
 ha realizado este miércoles a los trabajos de exhumación que se llevan a cabo en las criptas del 
Valle de los Caídos
.
La ARMH se queja en concreto de que a los familiares que reclaman la exhumación de un ser querido 
no se les haya permitido
 acudir al Valle de los Caídos ni presenciar los trabajos que allí se están realizando con el argumento de que podía ""ser peligroso para ellos"", según ha explicado la propia ARMH en un comunicado.
""Hemos visto en los medios de comunicación que el presidente del Gobierno, Pedro Sánchez; el ministro de Política Territorial y Memoria Democrática,
 Ángel Víctor Torres
; y el secretario de Estado de Memoria Democrática, 
Fernando Martínez,
 han visitado los trabajos de exhumación que se están llevando a cabo en las criptas del Valle de los Caídos, algo que se les ha impedido hacer a los familiares que quieren sacar de allí un ser querido con el argumento de que
 podía ser peligroso para ellos
"", se recoge en la queja que la ARMH ha registrado a las 13.00 horas de este miércoles tras divulgarse las imágenes de Sánchez vestido con un mono blanco dentro del laboratorio forense de Cuelgamuros donde ser realizan las labores de identificación de los restos de los fallecidos durante la Guerra Civil.
""Las familias que
 llevan años peleando por sacar de allí
 los restos de un ser querido se enteraron de las exhumaciones por la prensa y fueron convocadas por primera vez a una reunión el 10 de julio de 2023, en plena campaña electoral, en el Palacio de la Moncloa"", añade el escrito.
La ARMH reclama al Gobierno en su escrito ""
que nadie sea tratado por encima de las víctimas
 y que conozcan todo la información de lo que va ocurriendo en el Valle de los Caídos ya que son las promotoras de esas exhumaciones, las más afectadas por lo que allí sucede que las que tienen derechos con respecto a lo que está ocurriendo en sus criptas"".
Así mismo, exhorta al Gobierno a cumplir la Orden PRE/2568/2011, de 26 de septiembre, que establece el
 protocolo de actuación en exhumaciones
 de víctimas de la Guerra civil y la dictadura y que recoge, entre otras cosas, que ""a los procedimientos de excavación asistirán, si así han manifestado su deseo, los familiares directos de las víctimas"".
""Que la atención a las familias sea
 permanente, cuidadosa
 y siempre teniendo en cuenta que son la prioridad de esas actuaciones y tienen derechos inalienables a conocer de primera mano todo el proceso y a estar presentes en él siempre que quieran""",2024-04-04T13:18:36Z,Ana María Ortiz
España,https://www.elmundo.es/espana/2024/04/04/660d9c04e9cf4ab5348b4588.html,"La Fiscalía Europea investiga ""irregularidades"" en la reclamación del dinero a la trama Koldo en Baleares","La 
Fiscalía Europea
 investiga las posibles irregularidades en el expediente de reintegro de los fondos abierto por el Gobierno balear tras la adjudicación de material sanitario a la 
trama Koldo
.
A diferencia del resto de adjudicaciones que se encuentr
 








Hazte Premium desde 1€ el primer mes 






Aprovecha esta oferta por tiempo limitado y accede a todo el contenido web



Lo quiero









Si lo prefieres













",2024-04-04T11:09:47Z,Ángela Martialay
España,https://www.elmundo.es/espana/2024/04/04/660eaa2f21efa03d3a8b4573.html?intcmp=masnoticiasportada,"El novio de Ayuso dice en su querella que la presidenta es la perjudicada de un caso que busca ""réditos"" políticos","Alberto González Amador
, novio de la presidenta de la 
Comunidad de Madrid
, argumenta en la 
querella
 que ha presentado contra la fiscal jefe de Madrid y el fiscal de asuntos económicos que se revelaron datos suyos ""como instrumento para alcanzar al perjudicado último"", que es 
Isabel Díaz Ayuso
, con el fin de buscar ""réditos"" que son ""políticos"".
Así lo expone el letrado de González Amador en la querella interpuesta el 21 de marzo en el
 Tribunal Superior de Justicia de Madrid
 contra la fiscal jefe de Madrid, 
Pilar Rodríguez
, y el fiscal de la sección de Delitos Económicos 
Julián Salto
 por los presuntos delitos de revelación de secretos de particular por funcionario público, y de acceso apoderamiento, utilización y difusión pública de datos personales en perjuicio de su titular.
La querella se interpuso por el 
contenido de la nota difundida
 por la 
Fiscalía
 de Madrid el pasado 14 de marzo, en la que se daban detalles sobre la investigación a González Amador y otras cuatro personas por los presuntos delitos de defraudación tributaria y falsedad documental.
En el escrito, el letrado 
Gabriel Rodríguez Ramos
 incide en que ""nadie duda de que si el querellante hubiera mantenido una relación sentimental con cualquier otra persona, jamás se habrían producido las conductas y los hechos delictivos"" que consideran los fiscales que se han cometido.
""Esa misma causa es la que explica y ha determinado la selección del perjudicado inmediato -titular de los datos personales revelados- como instrumento para alcanzar al perjudicado último de la lesión del bien jurídico, su pareja sentimental"", añade.
La querella incide en que las conductas de los querellados ""no han tenido nunca como misión promover la acción de la justicia, como propugna el 
Estatuto del Ministerio Fiscal
, sino ""exclusivamente buscar los réditos de una revelación pública"" de algo que es confidencial.
""Réditos que solo pueden ser, por la condición de la pareja sentimental, políticos y ajenos al proceso penal"", añade, sosteniendo que los fiscales aprovecharon su ""privilegiada posición de interlocutor"" para pervertir su posición oficial de garante de los derechos del investigado y de la legalidad.
La querella expone en primer lugar que el letrado que representó a Ayuso en el proceso de inspección fiscal fue conocedor de que la 
Agencia Tributaria
 remitió a la Fiscalía una ""liquidación vinculada a delito"" y ""sobre todo, de las especiales circunstancias afectantes a D. Alberto González Amador por la relación sentimental que mantiene y de su potencial efecto deformador de las garantías procesales"".
Por eso se puso en contacto el pasado 2 de febrero con el Ministerio Fiscal, ""para canalizar y alcanzar, en la forma prevista en la legislación penal y de la forma más pronta posible, la figura análoga a las actas de conformidad ya alcanzadas en sede tributaria, esto es la conformidad penal"", y el fiscal Julián Salto tomó nota de esa voluntad .
Nota de la Fiscalía
La querella relata cómo el 11 de marzo 
eldiario.es
 publicó la primera información sobre un posible fraude fiscal, tras lo que el fiscal envió un correo a González Amador en el que le comunicó la denuncia a la que se refería la noticia, que el afectado no conocía previamente.
Y añade cómo se publicaron, en más medios, más datos incluidos en correos y comunicaciones confidenciales; cómo la Fiscalía acabó publicando una nota el 14 de marzo con detalles sobre el proceso, que conllevó que el 
Colegio de abogados de Madrid
 (ICAM) interpusiera 
denuncia
; y cómo el fiscal general del Estado ""dirigió e hizo pública, con su remisión a los medios de comunicación, una carta en la que considera que ""profundizó en la revelación de información"".
Por todo ello, el letrado argumenta la necesidad de formular la querella, solicitando diligencias como que se exija a la Fiscalía de Madrid que indique ""quién o quienes fueron las personas físicas concretas que intervinieron en la decisión de hacer público dicho comunicado de prensa y el máximo responsable (en rango) de la carrera fiscal que acordó o dio el visto bueno a la decisión de difundir el comunicado con el contenido finalmente remitido"".",2024-04-04T13:36:55Z,Efe Madrid
España,https://www.elmundo.es/cataluna/2024/04/04/660daf5cfdddfff8a88b45b5.html?intcmp=masnoticiasportada,"Puigdemont evitará el choque directo con Sánchez en campaña y se centrará en desnudar la ""mala gestión"" de Aragonès","La decisión del ex presidente de la Generalitat 
Carles Puigdemont
 de concurrir como candidato y regresar a Cataluña si tiene opciones de ser investido presidente, aunque eso signifique ser detenido y encarcelado por las autoridades españolas, ha alte
 








Hazte Premium desde 1€ el primer mes 






Aprovecha esta oferta por tiempo limitado y accede a todo el contenido web



Lo quiero









Si lo prefieres













",2024-04-04T06:29:03Z,Iñaki Ellakuría
España,https://www.elmundo.es/elecciones/elecciones-pais-vasco/2024/04/04/660da9fde85ece55698b45ab.html?intcmp=masnoticiasportada,El PNV oculta ahora la cuestión identitaria para escapar de la 'trampa' de Bildu,"La sociedad vasca desprecia la independencia y tanto 
PNV
 como 
EH Bildu
 han abandonado la independencia como reclamo electoral para compartir un «autogobierno» flexible dentro del marco de la Constitución y el Estatuto de Gernika. Los dos grandes rivales en las elecciones del 21-A, además, descartan cualquier consulta soberanista en el País Vasco conscientes de que en apenas una década los partidarios de la independencia han descendido del 35% al 22%. Según el Sociómetro del Gobierno vasco de febrero de 2024, la mayoría de los vascos (37%) está en contra de la independencia de Euskadi del resto de España.
PNV y EH Bildu dirimirán las elecciones vascas más reñidas de la historia con la sanidad, la vivienda, la generación de empleo y la seguridad como claves. Los dos partidos nacionalistas desplegaron durante el Aberri Eguna (Día de la Patria Vasca, en euskera) sus ikurriñas (y banderas de Navarra en el caso de Bildu) para centrarse hasta el 21-A en las preocupaciones de los vascos que marcan todos los estudios sociológicos. Los nacionalistas de 
Andoni Ortuzar
 no incluyen ninguna referencia a la «independencia» de Euskadi en su programa electoral, en línea con la ambigüedad con la que el candidato 
Imanol Pradales
 responde en la precampaña sobre el objetivo independentista de su partido.
«Tenemos paciencia histórica», respondió Pradales en 
La Brújula
 de 
Onda Cero 
al ser requerido por 
Rafa Latorre
 para aclarar si «sueña con una Euskadi independiente». La propuesta que el PNV traslada a los vascos como programa electoral se limita a defender una «actualización del autogobierno» en la que no se establecen plazos y en la que también se ha diluido totalmente la celebración de una consulta como la que exige en Cataluña el presidente 
Pere Aragonès
 a 
Pedro Sánchez.
La renuncia a consultas y referéndums de autodeterminación muestra la evolución tanto del PNV como de EH Bildu a posiciones teóricamente más pragmáticas. El PNV incluyó en 2009 entre sus 700 propuestas electorales la aprobación de una Ley de Consultas vascas. El entonces lehendakari, 
Juan José Ibarretxe
, e 
Iñigo Urkullu
 como presidente del PNV participaron en su presentación pública. Cinco años más tarde, Urkullu -ya como presidente vasco- encargó un estudio sociológico en el que se preguntó a los ciudadanos vascos por si «deseaban» una consulta para determinar la «relación entre Euskadi y España». El 51% de los encuestados defendían la realización de la consulta, otro 23% era partidario de su celebración solo si lo «lo aceptase el Gobierno español» y el 16% estaba en contra de que se realizara consulta alguna.
Una década después PNV y EH Bildu comparten impulsar un nuevo estatus sobre el que no se han logrado poner de acuerdo desde que en 2018 pactaran unas «bases y principios». El PNV prioriza ahora «culminar el Estatuto actual» en su programa. Incluye conseguir una «Seguridad Social Vasca» que iría mucho más allá de la transferencia del régimen económico de la Seguridad Social que el Estatuto de Gernika. Pradales también asume como propio que «se reconozca la identidad del Pueblo Vasco» y del «derecho a decidir siendo su ejercicio pactado con el Estado».
«Están viniendo al cauce del PNV», manifestó Pradales en su entrevista radiofónica ante la apuesta de EH Bildu por el «autogobierno». Tanto 
Arnaldo Otegi
 como su candidato a 
lehendakari
, 
Pello Otxandiano
, han relegado de sus intervenciones la «independencia» de Euskadi para abogar por más poder competencial como instrumento para garantizar el bienestar de la sociedad vasca. Otegi justificó ante sus bases la apuesta estratégica de relegar la independencia para centrarse en llegar a los gobiernos, incluso «con otras fuerzas» en un «escenario intermedio».",2024-04-04T00:12:55Z,Josean Izarra
España,https://www.elmundo.es/comunidad-valenciana/2024/04/04/660d9cc6e4d4d854568b45b4.html?intcmp=masnoticiasportada,El primer dardo del Gobierno a Morant: que asuma el 100% del coste del nuevo personal universitario,"No dudó la ministra de Ciencia y Universidades, 
Diana Morant
, en reconocer que se serviría de la posibilidad de sentarse en la mesa del 
Consejo de Ministros 
para hacer oposición a las políticas que en la Comunidad Valenciana quiere desarrollar el Gobierno del 
PP 
y 
Vox
. Eso ha provocado que el Consell adopte la misma postura y lance dardos contra la política del Gobierno de España en la espalda de la secretaria general de los socialistas valencianos. Este miércoles, la interpelación fue directa porque, además, afecta a sus competencias. 
El conseller de Educación, Universidades y Empleo, 
José Antonio Rovira
, pìdió a Morant que el Ministerio ""financie al 100 % el periodo transitorio para la incorporación de personal docente e investigador a las universidades públicas"". Rovira se manifestó así antes de la reunión de la 
Conferencia General de Política Universitaria
, celebrada en el Ministerio y en cuyo orden del día se incluía un único punto sobre el programa para la incorporación de talento docente e investigador a las universidades públicas, cuestión derivada de la aplicación de la Ley Orgánica 2/2023, de 22 de marzo, del Sistema Universitario (LOSU).
Al respecto, el conseller ha señalado que ""Diana Morant y el presidente del Gobierno, Pedro Sánchez, han conseguido poner de acuerdo a la gran mayoría de comunidades autónomas, tanto del PP como del PSOE, en rechazar la fórmula que plantea el Ministerio"", aseguró. ""El Ministerio está jugando a un trilerismo claro. Primero dijo que financiaba un tercio de la 
incorporación del personal, docente e investigador
, solo durante los primeros 6 años y después dos tercios, tras reunirse con la Conferencia de Rectores de las Universidades Españolas -CRUE- a espaldas de las comunidades autónomas"", ha señalado.
A juicio del conseller, la ministra Morant ""debería apostar claramente por una 
financiación completa 
de esas plazas durante los 6 primeros años por parte del Ministerio, ya que cuando se hagan estructurales serán financiadas al 100 % por la comunidad autónoma, y que no caiga otra vez la financiación casi en exclusiva en las comunidades autónomas, con mayor gravedad en el caso de la Comunidad Valenciana, que está claramente 
infrafinanciada
"".
La propuesta planteada por las comunidades autónomas en reuniones anteriores pedía que el Ministerio asumiera el coste total de las plazas durante los primeros seis años y a partir de ahí y hasta la jubilación que lo hicieran las comunidades autónomas.
Un gasto anual de 29,3 millones
A la Comunidad Valenciana le corresponden alrededor de 
700 plazas
, lo que representa un total de 
29,3 millones 
de euros cada año.
Rovira ha manifestado que lo idóneo sería volver al foro técnico ""y que ahí se decidan las cosas, porque a día de hoy aún no sabemos si esos fondos que pondrá el Ministerio irán a las Universidades o irán a las comunidades autónomas, y hay que aclarar esta cuestión"". ""
Si el Ministerio de Universidades legisla, es el Gobierno de Pedro Sánchez quien tiene que poner el dinero
. Así lo entendemos en las comunidades autónomas y así lo dice la LOFCA -Ley de financiación de las Comunidades Autónomas"", sentenció.",2024-04-03T22:36:00Z,Inma Lidón
España,https://www.elmundo.es/uestudio/2024/03/22/65fd82c2e9cf4af8688b457f.html,¿Es tu hogar eficiente?,"Actualizado 
 Miércoles,
27
marzo
2024
-

14:03
Entramos en casa y el primer instinto es ese. Levantamos el brazo y damos al interruptor de la luz. Después de este, otros tantos salpicados por toda la casa, cambiarán de posición. Tras ellos, la televisión, una lavadora, el horno, la placa vitrocerámica y la campana extractora para preparar la cena... Grandes y pequeños electrodomésticos que necesitan de electricidad para poder cumplir su función. De su actividad nos dejará evidencia la factura de la luz. Por eso es tan importante que los electrodomésticos que tengamos en casa sean eficientes y tengan el etiquetado energético obligatorio.
La entidad LG, una de las mayores empresas de este sector, evidencia su compromiso con el medio ambiente y con el cliente final con su continua investigación y desarrollo de tecnología propia. Su objetivo no es otro que poner a disposición del consumidor final aparatos de alta gama, eficientes y respetuosos con el entorno, que aporten calidad, eficacia y confort al hogar.
Para lograrlo, la compañía apuesta por una fuente de energía renovable: la aerotermia.
Si quieres conocer tu 
ahorro en calefacción
 con la nueva 
tecnología
 desarrollada por 
LG
, pincha 
aquí
.
¿Qué es la aerotermia?
Energía solar, eólica, geotérmica... La industria fija su mirada en las 
energías renovables
, aquellas que proceden de fuentes naturales inagotables. Y lo hace por las ventajas que aportan -limpias, sostenibles y reducen las emisiones de gases de efecto invernadero- pero también, por los resultados que proporcionan.
La 
aerotermia
, aunque necesita de la electricidad para su producción (solo un 20% del total de energía que requiere para funcionar), se considera una energía renovable que parte de convertir la energía ambiental que existe en el aire mediante un ciclo termodinámico. Dicho en otras palabras: es la energía térmica que una bomba de calor extrae del aire que encontramos en el ambiente.
Este proceso de generación de energía no sólo posibilita un sistema de calefacción por suelo radiante o radiadores sino que también genera 
refrigeración/aire acondicionado
, además de 
agua caliente
; es decir, se convierte en la opción más completa al utilizar una única fuente de energía y recibir varios servicios.
VENTAJAS PRINCIPALES DE CALEFACCIÓN, AIRE ACONDICIONADO Y AGUA CALIENTE EN UN ÚNICO SISTEMA DE AEROTERMIA
AHORRO
:
Hasta un 80% de ahorro frente a calentadores eléctricos
(1)
Hasta un 50% más ahorro que con caldera de gas
(2)
EFICIENCIA
:
Hasta 6 veces más eficiente que las calderas tradicionales
(3)
Etiqueta energética A+++/A+++ 
(4)
Combinación perfecta con sistema solar para maximizar el autoconsumo hasta un 80%
CONFORT
:
Pleno rendimiento tanto en climas muy cálidos como muy fríos (hasta -28ºC)
Funcionamiento muy silencioso, menos decibelios que una biblioteca (49dB (A) a 12kW)
Control wifi a través de ThinQ app para gestionar el funcionamiento con la máxima comodidad. Todos los electrodomésticos y tecnología LG conectados en una sola app.
SOSTENIBILIDAD
:
Extrae del aire el 80% de la energía que necesita para funcionar à energía renovable
Utiliza refrigerante R290 con bajo impacto medioambiental. 99% menos emisiones de CO2 que el modelo anterior
(5)
DISEÑO/INNOVACIÓN:
Estética modernizada para adaptarse a los hogares
Diseño pensado para garantizar la seguridad y facilidad de instalación y mantenimiento.
A esta 
ventaja que presenta la aerotermia
, cabe sumar otra: es perfectamente compatible con 
energía solar
 (paneles e inversores y baterías), por lo que es una buena opción para un hogar más eficiente. Por ejemplo, conectando la aerotermia a paneles solares y al sistema LG ESS Home (inversor + batería solar todo en uno), que almacena el excedente de energía solar para poder utilizarla por la noche o días nublados, se maximiza el autoconsumo y por tanto el ahorro. Un modo de recibir y hacer uso racional y multifuncional de la energía dando paso a un espacio sostenible.
Y esta es la premisa en la que se basa gran parte de la tecnología desarrollada por LG, dando lugar a 
hogares más eficientes 
e innovadores gracias a la experiencia de la compañía en las aplicaciones y ventajas de la aerotermia llevadas al hogar.
¿Por qué optar por la aerotermia? 
AHORRO ENERGÉTICO
: es hasta 6 veces más eficiente que una caldera
(3)
. Utiliza solo un 20% de energía eléctrica para funcionar, el 80% restante proviene del aire exterior (energía renovable).
AHORRO ECONÓMICO
: proporciona hasta un 80% de ahorro frente a calentadores eléctricos 
(1)
. Hasta un 50% más ahorro que con caldera de gas 
(2)
LG, con su amplia gama de productos innovadores y eficaces, se convierte así en el 
proveedor del ecosistema energético completo
: climatización, almacenamiento solar, electrodomésticos... Todo un abanico de opciones para crear un hogar confortable, eficiente y seguro. Entre estas opciones, una amplia gama de modelos de aerotermia y aerotermia híbrida para adaptarse a todas las viviendas.
Destaca entre todas ellas, la llegada reciente al mercado de una solución específica para 
viviendas unifamiliares
: LG Therma V R290. Este sistema funciona con un refrigerante sin prácticamente impacto medioambiental. Junto a él, el modelo Multi V S R32, destinado a 
pisos en edificios plurifamiliares
. Un portfolio de producto pensado para las necesidades cada familia.
Pero más allá de los sistemas de climatización, LG aplica su 
know-how
 al resto de electrodomésticos que son necesarios en una casa, y ofrece al cliente desde 
frigoríficos
 (el modelo GBB92MBB3P es un 20% más eficiente que la clasificación energética A), hasta 
lavadoras
 -el modelo F4WR9009A2W es un 40% más eficiente que la clasificación energética A-, 
hornos
, como el WSED7667M, con una eficiencia energética máxima A++; o 
placas vitrocerámicas, campanas extractoras, televisores, secadoras
...
Accede 
aquí
 a toda la 
gama de electrodomésticos eficientes de LG
 y compra ya el tuyo. La solución definitiva para tu hogar que además de sofisticación y calidad en el servicio, te ayudará a reducir la factura de la luz y participarás en la reducción de emisiones de CO
2
.
--(1)
 Datos sacados del cálculo en base a una vivienda unifamiliar del año 2007 con 4 personas de ocupación y 150 m², que requiere una media de electricidad utilizada para calefacción de 14.000 kWh, con una tarifa PVPC de 0,22 euros/kWh. Por hacer sencillos los cálculos, se han escogido para el análisis modalidades de tarifas reguladas por el gobierno actualizadas a enero 2023. (No están incluidos los términos fijos de la energía, alquiler del equipo de medida e impuestos). Los resultados pueden variar en función del tipo de bomba de calor y de los precios de la energía en su región.
--(2)
 Datos sacados del cálculo en base a una vivienda unifamiliar del año 2007 con 4 personas de ocupación y 150 m², que cuenta con caldera de gas natural y la tarifa TUR 2. Por hacer sencillos los cálculos, se han escogido para el análisis modalidades de tarifas reguladas por el gobierno actualizadas a enero 2023. (No están incluidos los términos fijos de la energía, alquiler del equipo de medida e impuestos). Los resultados pueden variar en función del tipo de bomba de calor y de los precios de la energía en su región.
--(3)
 Los ratios se dan para ayudar a entender y se basan en el Coeficiente de Rendimiento (COP) 4. El SCOP real de THERMA V R32 podrá ser superior a 4 en condiciones de temperatura de impulsión baja y clima medio o cálido, SCOP de hasta 6,83 en THERMA V Monobloc S R32. La eficiencia real puede variar con la temperatura del agua y del exterior.
--(4)
 La etiqueta energética se basa en el REGLAMENTO DELEGADO DE LA COMISIÓN (UE) nº 811/2013 y la serie LG THERMA V R290 alcanza la etiqueta energética ERP A+++ para calefacción de espacios a 35°C LWT y ERP A+++ para calefacción de espacios a 55°C LWT. Los resultados de la etiqueta energética pueden variar en función del modelo LG Therma V. Por favor, consulte la página web de LG Compliance Information (https://www.lg.com/global/support/cedoc/cedoc) para comprobar cada modelo.
--(5)
 Comparativa con LG Therma V R32 Monobloc S.
Realizado por UE Studio
Este texto ha sido desarrollado por UE Studio, firma creativa de branded content y marketing de contenidos de Unidad Editorial, para

LG
.",2024-03-27T13:03:16Z,
