Tweet ID,Usuario,Contenido,Fecha,Lenguaje,Sentimiento,texto_limpio
768213567418036224,anahorxn,"@myendlesshazza a. que puto mal escribo

b. me sigo surrando help 

3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",2016-08-23 22:29:21,es,negative,puto mal escribo b sigo surrando help 3 quedado raro cómetelo ahí jajajaja
768212591105703936,martitarey13,@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero ,2016-08-23 22:25:29,es,negative,jajajaja d mucha gente seguro puedo melena muero
768221670255493120,endlessmilerr,Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,2016-08-23 23:01:33,es,positive,quiero mogollón sobretodo rápido contesta wasaps
768221021300264964,JunoWTFL,Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,2016-08-23 22:58:58,es,negative,vale visto tia bebiendose regla hs dado muchs grima
768220253730009091,Alis_8496,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,2016-08-23 22:55:55,es,positive,ah supuesto solo incluyo entendido mal
768224728049999872,caval100,"Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera 
Suerte y solidaridad",2016-08-23 23:13:42,es,negative,terminado rio2016 lamentablemente arriendo ganancias pueblo brasileño penuria espera suerte solidaridad
768231706746912769,mgcsunshine,11. siiii fue super gracioso teniamos que habernos sacado una foto ,2016-08-23 23:41:26,es,positive,11 siiii super gracioso teniamos habernos sacado foto
768231229439311872,__LOST_PRINCESS,@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,2016-08-23 23:39:32,es,negative,seria mejor dejasen emitir basura evolucionar bien
768231166965145600,ConLDeLucifer_,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",2016-08-23 23:39:17,es,negative,mandaria comprarte burro creo tiendas abiertas ahora
768230914233143296,AranchaGarcia97,Mg y pongo un adjetivo super repelente a vuestro nombre ,2016-08-23 23:38:17,es,negative,mg pongo adjetivo super repelente nombre
768224471127826432,desimaestre_,@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,2016-08-23 23:12:41,es,negative,voz maría final mata jajajsjajajaj quilla
768223726739611652,BISQUERT1982,@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.,2016-08-23 23:09:44,es,positive,jajaes bien nacidos ser agradecidos diría aqueltiene récord puntos vcfcreo q cumplió
768223225453084674,nefariuss,"@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^",2016-08-23 23:07:44,es,positive,bueno menos acabado noche hermosa vista ami tambien gusta verlos noche
768223146868703232,ITSMENDESWORLD,@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,2016-08-23 23:07:25,es,negative,enserio dicho froot loops malos dolido
768229223769202689,Ujsharp,"@Sakura_Abril Ow 
Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí 😊
Y si no pudieras de cosplay pero sí a la expo, +",2016-08-23 23:31:34,es,positive,ow bueno pasa puedas confirmarlo aquí si pudieras cosplay expo
768228919032082433,HanChuiPriest,"Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad",2016-08-23 23:30:21,es,positive,aunque pensaba podría hacerlo mes octubre lunes próximo volveré ver familia mataró felicidad
768228580673347584,pacosan1269,Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,2016-08-23 23:29:01,es,negative,oye pones hablar viejos tiempos avisas
768228346232729603,aleedesrosiers,"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",2016-08-23 23:28:05,es,negative,aguantar 4 niños pequeños sé peor
768232556538068992,isachue96,@Yosmath @Planeta87Radio  #Incantus  Genial ya estoy conectada ,2016-08-23 23:44:49,es,positive,incantus genial conectada
768018934385807360,Momo_Hime444,"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ",2016-08-23 09:35:57,es,neutral,raro sentimiento ahora aunque fin dará
768016294499221504,todoalposte,"@pabloserrano @JesusBengoechea Madrid tiene la cultura propia de los que ""no tiene cultura propia"". Vamos, como los romanos en su tiempo ",2016-08-23 09:25:28,es,negative,madrid cultura propia cultura propia vamos romanos tiempo
768016038126620672,ElyShuri,"Gracias por los ánimos! He dormido un poco más, me he tomado una pastilla y ha bajado a 36 y medio, pero aún me noto rara ",2016-08-23 09:24:27,es,negative,gracias ánimos dormido tomado pastilla bajado 36 medio aún noto rara
768078078589464578,Dekuwa,"@KunMadera pues date unas cuantas horas, que es muy temprano ",2016-08-23 13:30:58,es,neutral,pues date unas cuantas horas temprano
768055768700575744,xZ4dry,"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ",2016-08-23 12:02:19,es,positive,pinta buena gente q veo t conocio gracias qt
768055711590977536,MarthaFae,"@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos  ",2016-08-23 12:02:06,es,positive,bueno desierta desierta seres feéricos
768055650970693632,jaware,@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor. ,2016-08-23 12:01:51,es,negative,2 horas esperando comisaría gandia atendido 3 personas solamente autorización viaje menor
768055614413086720,sanroman1952,"@angeleta1973 @elespanolcom No he visto su DNI o Pasaporte pero presume de serlo aunque es muy,demasiado,peculiar y poco caritativa   ",2016-08-23 12:01:42,es,negative,visto dni pasaporte presume serlo aunque muydemasiadopeculiar caritativa
768065433362726912,M_Megrez,@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ,2016-08-23 12:40:43,es,negative,oh llamando gordo jajaja grazie ruliño mismo puedo decir
768064666123825152,Fran87bcn,@BarrosNerea Tú siempre sexy Nerea!! Qué tengas un maravilloso día! Besitos! ,2016-08-23 12:37:41,es,positive,siempre sexy nerea maravilloso día besitos
768064453246128128,Fran87bcn,@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,2016-08-23 12:36:50,es,positive,seestrenasietevidas gato tipo garfield porqué vago porqué encanta lasaña
768063661541851137,AlejandroHenar1,@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ,2016-08-23 12:33:41,es,negative,si odio muerte nueva harley quieres
